day,hijri,fajer,sunrise,dhuhr,asr,maghrib,ishaa
1,25/12/1445,3:34 am,5:30 am,12:41 pm,4:26 pm,7:58 pm,9:34 pm
2,26/12/1445,3:35 am,5:30 am,12:41 pm,4:26 pm,7:57 pm,9:34 pm
3,27/12/1445,3:35 am,5:31 am,12:41 pm,4:26 pm,7:57 pm,9:33 pm
4,28/12/1445,3:36 am,5:31 am,12:42 pm,4:27 pm,7:57 pm,9:33 pm
5,29/12/1445,3:37 am,5:31 am,12:42 pm,4:27 pm,7:57 pm,9:33 pm
6,30/12/1445,3:37 am,5:32 am,12:42 pm,4:27 pm,7:57 pm,9:33 pm
7,1/1/1446,3:38 am,5:32 am,12:42 pm,4:27 pm,7:57 pm,9:32 pm
8,2/1/1446,3:39 am,5:33 am,12:42 pm,4:27 pm,7:57 pm,9:32 pm
9,3/1/1446,3:40 am,5:33 am,12:43 pm,4:27 pm,7:57 pm,9:31 pm
10,4/1/1446,3:40 am,5:34 am,12:43 pm,4:28 pm,7:56 pm,9:31 pm
11,5/1/1446,3:41 am,5:35 am,12:43 pm,4:28 pm,7:56 pm,9:30 pm
12,6/1/1446,3:42 am,5:35 am,12:43 pm,4:28 pm,7:56 pm,9:30 pm
13,7/1/1446,3:42 am,5:36 am,12:43 pm,4:28 pm,7:55 pm,9:29 pm
14,8/1/1446,3:44 am,5:36 am,12:43 pm,4:28 pm,7:55 pm,9:29 pm
15,9/1/1446,3:45 am,5:37 am,12:43 pm,4:28 pm,7:55 pm,9:28 pm
16,10/1/1446,3:45 am,5:38 am,12:43 pm,4:28 pm,7:54 pm,9:27 pm
17,11/1/1446,3:46 am,5:38 am,12:44 pm,4:28 pm,7:54 pm,9:27 pm
18,12/1/1446,3:47 am,5:39 am,12:44 pm,4:28 pm,7:53 pm,9:26 pm
19,13/1/1446,3:48 am,5:39 am,12:44 pm,4:28 pm,7:53 pm,9:25 pm
20,14/1/1446,3:49 am,5:40 am,12:44 pm,4:28 pm,7:52 pm,9:24 pm
21,15/1/1446,3:50 am,5:41 am,12:44 pm,4:29 pm,7:52 pm,9:24 pm
22,16/1/1446,3:51 am,5:41 am,12:44 pm,4:29 pm,7:51 pm,9:23 pm
23,17/1/1446,3:52 am,5:42 am,12:44 pm,4:29 pm,7:51 pm,9:22 pm
24,18/1/1446,3:53 am,5:43 am,12:44 pm,4:29 pm,7:50 pm,9:21 pm
25,19/1/1446,3:54 am,5:43 am,12:44 pm,4:28 pm,7:49 pm,9:20 pm
26,20/1/1446,3:56 am,5:44 am,12:44 pm,4:28 pm,7:49 pm,9:19 pm
27,21/1/1446,3:57 am,5:45 am,12:44 pm,4:28 pm,7:48 pm,9:18 pm
28,22/1/1446,3:58 am,5:46 am,12:44 pm,4:28 pm,7:47 pm,9:17 pm
29,23/1/1446,3:59 am,5:46 am,12:44 pm,4:28 pm,7:47 pm,9:16 pm
30,24/1/1446,4:00 am,5:47 am,12:44 pm,4:28 pm,7:46 pm,9:15 pm
31,25/1/1446,4:00 am,5:48 am,12:44 pm,4:28 pm,7:45 pm,9:14 pm
